,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
24,0.6035296867695183,0.6206521739130435,695,0.3071333217070163,200000,180.23402958873214,linear,4,24,,,,,,,,,,,,,,,,,,,,,
25,0.7241000467508182,0.6641304347826087,30,0.16935817115611282,200000,329.4805335648887,linear,6,25,,,,,,,,,,,,,,,,,,,,,
26,0.4503038803179056,0.46557971014492755,421,0.2034034088299063,200000,295.93594921736684,linear,6,26,,,,,,,,,,,,,,,,,,,,,
27,0.5734221598877981,0.602536231884058,413,0.8,10833,316.0060638668975,linear,2,27,,,,,,,,,,,,,,,,,,,,,
28,0.44576905095839175,0.4065217391304349,338,0.6315815601091433,28056,500.0,linear,2,28,,,,,,,,,,,,,,,,,,,,,
29,0.5643992519869098,0.5865942028985508,278,0.8,15526,109.7495283192532,linear,0,29,,,,,,,,,,,,,,,,,,,,,
30,0.5839644693782141,0.5862318840579711,243,0.8,118844,7.258646162957575,linear,0,30,,,,,,,,,,,,,,,,,,,,,
31,0.7543010752688172,0.7235507246376811,8,0.08042711439995082,151696,224.37340122730987,linear,6,25,31(s),,,,,,,,,,,,,,,,,,,,
32,0.5190509583917718,0.5268115942028986,41,0.19184722354513822,4544,350.51317362574827,linear,6,25,32(s),,,,,,,,,,,,,,,,,,,,
33,0.7241467975689574,0.75,6,0.0455326112339418,48627,224.5590111901747,linear,6,25,33(s),,,,,,,,,,,,,,,,,,,,
34,0.6230949041608229,0.5427536231884058,153,0.3894749093153662,175701,147.80562109446663,linear,3,22,34,,,,,,,,,,,,,,,,,,,,
35,0.5410004675081814,0.5,187,0.2939088791555855,133086,500.0,linear,3,22,35,,,,,,,,,,,,,,,,,,,,
36,0.5235857877512856,0.5438405797101449,388,0.05759257762156971,4699,102.76357878140931,linear,9,19,36,,,,,,,,,,,,,,,,,,,,
37,0.5256895745675549,0.5434782608695652,1000,0.09830655782906678,200000,136.48681521671912,linear,9,19,37,,,,,,,,,,,,,,,,,,,,
38,0.48062178588125287,0.45724637681159414,491,0.8,75330,328.3209041909254,linear,1,38,,,,,,,,,,,,,,,,,,,,,
39,0.49153810191678354,0.5166666666666667,639,0.3962797062753031,200000,267.1435410433748,linear,1,39,,,,,,,,,,,,,,,,,,,,,
40,0.47608695652173916,0.4235507246376812,29,0.0154337111328397,24035,53.55962243623519,linear,8,18,40,,,,,,,,,,,,,,,,,,,,
41,0.5517297802711547,0.5007246376811594,56,0.1185721608788331,15672,45.12121267450218,linear,8,18,41,,,,,,,,,,,,,,,,,,,,
42,0.5624357176250585,0.6039855072463768,13,0.006507333377790447,4971,0.9674291117182854,linear,5,14,42,,,,,,,,,,,,,,,,,,,,
43,0.5301075268817204,0.586231884057971,15,0.0012943809082814747,380,5.817391306446099,linear,5,14,43,,,,,,,,,,,,,,,,,,,,
44,0.5255960729312763,0.49347826086956526,73,0.22564964264698306,42145,385.69065677405064,linear,2,44,,,,,,,,,,,,,,,,,,,,,
45,0.6035764375876578,0.6032608695652174,58,0.8,75999,500.0,linear,2,45,,,,,,,,,,,,,,,,,,,,,
46,0.7543010752688172,0.7235507246376811,11,0.07290625839146941,200000,381.58782525940535,linear,6,25,31(s),46(s),,,,,,,,,,,,,,,,,,,
47,0.7564282374941562,0.7068840579710145,14,0.09884370674542645,152253,437.1077730585466,linear,6,25,31(s),47(s),,,,,,,,,,,,,,,,,,,
48,0.7543010752688172,0.7235507246376811,1,0.1135185959542711,41583,81.07693346650399,linear,6,25,31(s),48(s),,,,,,,,,,,,,,,,,,,
49,0.75,0.7235507246376811,9,0.06601129087092338,172429,217.88569313477137,linear,6,25,31(s),49(s),,,,,,,,,,,,,,,,,,,
50,0.7543010752688172,0.7235507246376811,8,0.08305425817771298,200000,116.83968060556754,linear,6,25,31(s),50(s),,,,,,,,,,,,,,,,,,,
51,0.7478260869565219,0.7235507246376811,10,0.04352424987790886,123389,150.74757684267973,linear,6,25,31(s),51(s),,,,,,,,,,,,,,,,,,,
52,0.7305984104721833,0.7235507246376811,22,0.08998730960462893,79317,500.0,linear,6,25,31(s),47(s),52.0,,,,,,,,,,,,,,,,,,
53,0.7543010752688172,0.7235507246376811,8,0.1140179882862829,191559,120.04830686048223,linear,6,25,31(s),47(s),53.0,,,,,,,,,,,,,,,,,,
54,0.7478494623655914,0.7235507246376811,9,0.05877553401797046,170569,255.96187767834041,linear,6,25,31(s),54(s),,,,,,,,,,,,,,,,,,,
