,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
80,0.897567844342038,0.8595859213250516,5,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,80,,,,,,,,,,,,
81,0.8667613927291347,0.859544513457557,11,13,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,81,,,,,,,,,,,,
82,1.0,0.7993788819875777,1,142,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,,,,,,,,,,,
83,1.0,0.7993788819875777,1,94,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,83,,,,,,,,,,,
84,0.8667613927291347,0.859544513457557,11,1,uniform,ball_tree,euclidean,4,14,32(s),43(s),84(s),,,,,,,,,,,,,,
85,0.897567844342038,0.8595859213250516,5,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),85(s),,,,,,,,,,,,,,
86,0.8631822836661547,0.8566459627329192,13,2,uniform,ball_tree,euclidean,4,14,32(s),43(s),86(s),,,,,,,,,,,,,,
87,0.9061725550435227,0.7678260869565218,2,16,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),87,,,,,,,,,,,,,
88,0.8796466973886329,0.8681573498964804,7,21,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),88,,,,,,,,,,,,,
89,0.8689016897081412,0.8624016563146997,9,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,81,89,,,,,,,,,,,
90,0.899720942140297,0.8452173913043477,3,6,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,81,90,,,,,,,,,,,
91,1.0,0.7993788819875777,1,240,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,91,,,,,,,,,,
92,1.0,0.7993788819875777,1,122,uniform,ball_tree,euclidean,0,12(s),34,40,44,54,62,82,92,,,,,,,,,,
93,0.897567844342038,0.8595859213250516,5,8,uniform,ball_tree,euclidean,4,14,32(s),43(s),93(s),,,,,,,,,,,,,,
94,0.8703379416282642,0.8537888198757763,12,9,uniform,ball_tree,euclidean,4,14,32(s),43(s),94(s),,,,,,,,,,,,,,
95,0.8717639528929851,0.8681573498964804,10,4,uniform,ball_tree,euclidean,4,14,32(s),43(s),95(s),,,,,,,,,,,,,,
96,0.8796466973886329,0.8681573498964804,7,25,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),96,,,,,,,,,,,,,
97,0.8717639528929851,0.8681573498964804,10,22,uniform,ball_tree,euclidean,4,14,32(s),43(s),74(s),97,,,,,,,,,,,,,
98,1.0,0.7993788819875777,1,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),85(s),98,,,,,,,,,,,,,
99,0.8796466973886329,0.8681573498964804,7,3,uniform,ball_tree,euclidean,4,14,32(s),43(s),85(s),99,,,,,,,,,,,,,
100,0.8796466973886329,0.8681573498964804,7,5,uniform,ball_tree,euclidean,4,14,32(s),43(s),56(s),69,81,100,,,,,,,,,,,
