,train,test,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
79,0.7241467975689575,0.6978260869565217,33,26,uniform,ball_tree,euclidean,2,46(s),79,,,,,,,,,
80,0.7758298270219729,0.7416666666666666,7,269,uniform,ball_tree,euclidean,2,32(s),80,,,,,,,,,
81,1.0,0.7579710144927535,1,24,uniform,ball_tree,euclidean,2,32(s),81,,,,,,,,,
82,0.8663160355306218,0.6891304347826088,2,61,uniform,ball_tree,euclidean,1,29,41,65.0,82,,,,,,,
83,0.672393641888733,0.672463768115942,44,39,uniform,ball_tree,euclidean,1,29,41,65.0,83,,,,,,,
84,0.6573398784478728,0.6637681159420289,50,47,uniform,ball_tree,euclidean,1,29,41,66.0,84,,,,,,,
85,0.6573398784478728,0.6637681159420289,50,162,uniform,ball_tree,euclidean,1,29,41,66.0,85,,,,,,,
86,0.7973819541841983,0.7492753623188405,13,246,uniform,ball_tree,euclidean,2,86(s),,,,,,,,,,
87,0.7757830762038337,0.7416666666666667,8,104,uniform,ball_tree,euclidean,2,87(s),,,,,,,,,,
88,0.8081813931743806,0.7670289855072464,16,174,uniform,ball_tree,euclidean,2,88(s),,,,,,,,,,
89,0.7263207106124359,0.6978260869565217,31,141,uniform,ball_tree,euclidean,2,10(s),89,,,,,,,,,
90,0.7672510518934083,0.7586956521739131,22,300,uniform,ball_tree,euclidean,2,10(s),90,,,,,,,,,
91,0.6659186535764375,0.6721014492753623,39,39,uniform,ball_tree,euclidean,2,10(s),70,91.0,,,,,,,,
92,0.7499766245909305,0.7496376811594203,30,239,uniform,ball_tree,euclidean,2,10(s),70,92.0,,,,,,,,
93,0.7284478728377748,0.75,29,27,uniform,ball_tree,euclidean,2,46(s),79,93.0,,,,,,,,
94,0.6702431042543243,0.6637681159420289,43,26,uniform,ball_tree,euclidean,2,46(s),79,94.0,,,,,,,,
95,0.6702431042543243,0.6463768115942029,45,62,uniform,ball_tree,euclidean,2,46(s),78,95.0,,,,,,,,
96,0.7715755025712951,0.7757246376811594,24,300,uniform,ball_tree,euclidean,2,46(s),78,96.0,,,,,,,,
97,0.7241467975689575,0.6978260869565217,33,120,uniform,ball_tree,euclidean,1,29,41,66.0,85,97,,,,,,
98,0.6766947171575501,0.6637681159420289,47,288,uniform,ball_tree,euclidean,1,29,41,66.0,85,98,,,,,,
99,0.6788686302010285,0.6891304347826086,35,220,uniform,ball_tree,euclidean,2,99(s),,,,,,,,,,
100,0.7973819541841983,0.7753623188405797,12,58,uniform,ball_tree,euclidean,2,100(s),,,,,,,,,,
101,0.6702197288452547,0.6721014492753623,37,66,uniform,ball_tree,euclidean,2,101(s),,,,,,,,,,
102,0.6573398784478728,0.6637681159420289,50,21,uniform,ball_tree,euclidean,2,46(s),79,102.0,,,,,,,,
